No.	T	dL
		
1	25.36318779	0
2	25.3248806	-0.0996151
3	25.20271683	-0.17985916
4	25.10094452	-0.17985916
5	25.20148659	-0.16602516
6	25.14052391	-0.20476341
7	25.06984329	-0.17709351
8	25.12261963	-0.19646263
9	25.32611084	-0.17432594
10	25.14774895	-0.17985916
11	25.2865696	-0.17432594
12	25.25419998	-0.19646263
13	25.33084679	-0.18816185
14	25.2422905	-0.21583176
15	25.07109642	-0.19092751
16	24.94635963	-0.21029854
17	25.13581467	-0.17985916
18	25.30321503	-0.18262672
19	25.20523071	-0.15772438
20	25.00040627	-0.22136688
21	25.24951363	-0.20753098
22	25.18230247	-0.22413254
23	24.89135742	-0.18816185
24	25.04470634	-0.21583176
25	25.15246391	-0.21306419
26	25.13330269	-0.21029854
27	25.11068344	-0.19923019
28	25.26270103	-0.19369507
29	25.17413521	-0.16879082
30	25.30101395	-0.20199585
31	25.41467476	-0.18539429
32	25.43853378	-0.16879082
33	25.19800568	-0.17432594
34	25.07832527	-0.22413254
35	25.04345322	-0.19092751
36	24.96678352	-0.22413254
37	25.03276825	-0.20753098
38	25.20271683	-0.22413254
39	25.05193329	-0.19923019
40	25.13801575	-0.19923019
41	25.02679825	-0.21029854
42	25.14178276	-0.21583176
43	25.02083015	-0.19646263
44	25.12730789	-0.20476341
45	25.19206238	-0.19092751
46	25.29975891	-0.20476341
47	25.17162514	-0.18816185
48	25.02805901	-0.20199585
49	25.16690826	-0.19923019
50	25.17287827	-0.17985916
51	25.33082199	-0.21029854
52	25.3380661	-0.18539429
53	25.36318779	-0.19092751
54	25.39081383	-0.20476341
55	25.18606949	-0.17709351
56	25.49597549	-0.21306419
57	25.40996361	-0.18539429
58	25.34403419	-0.2269001
59	25.28531456	-0.20753098
60	25.36443901	-0.18816185
61	25.46016693	-0.18262672
62	25.59546661	-0.21029854
63	25.41341782	-0.18262672
64	25.22564697	-0.18539429
65	25.35250854	-0.19092751
66	25.09026146	-0.20199585
67	25.10942268	-0.19923019
68	25.16690826	-0.20476341
69	25.20271683	-0.17709351
70	25.0974884	-0.17155838
71	25.36789703	-0.19369507
72	25.29850006	-0.17155838
73	25.39680481	-0.17432594
74	25.24825859	-0.19646263
75	25.47680664	-0.18262672
76	25.44700623	-0.18539429
77	25.51512337	-0.17985916
78	25.50915909	-0.21583176
79	25.34526443	-0.17985916
80	25.47337532	-0.18816185
81	25.34403419	-0.16602516
82	25.26864433	-0.21306419
83	25.31891441	-0.19092751
84	25.21590996	-0.20199585
85	25.21716499	-0.17985916
86	25.30572701	-0.16879082
87	25.21245384	-0.17985916
88	25.39426613	-0.18816185
89	25.24354553	-0.20199585
90	25.17759132	-0.21029854
91	25.2422905	-0.20476341
92	25.18481445	-0.22413254
93	25.20994377	-0.21306419
94	25.19329643	-0.21306419
95	25.2422905	-0.19369507
96	25.55594635	-0.18539429
97	25.26144791	-0.16879082
98	25.12261963	-0.19923019
99	25.27215004	-0.17985916
100	25.51638031	-0.17709351
101	25.40148926	-0.18262672
102	25.38233757	-0.21029854
103	25.24354553	-0.20199585
104	25.28531456	-0.16879082
105	25.41467476	-0.17155838
106	25.42315102	-0.17985916
107	25.49597549	-0.17432594
108	25.43978882	-0.17432594
109	25.36912727	-0.16602516
110	25.46364594	-0.18262672
111	25.41812897	-0.1632576
112	25.28780174	-0.19923019
113	25.24103355	-0.14942169
114	25.41467476	-0.18262672
115	25.35847282	-0.16602516
116	25.14523888	-0.17709351
117	25.34152222	-0.17985916
118	25.45171547	-0.18816185
119	25.48530197	-0.18539429
120	25.36912727	-0.17985916
121	25.22187614	-0.1632576
122	25.23035622	-0.20753098
123	25.43978882	-0.14942169
124	25.19206238	-0.19646263
125	25.20646477	-0.15772438
126	25.29850006	-0.18539429
127	25.32862473	-0.19369507
128	25.21119881	-0.17155838
129	25.26270103	-0.17155838
130	25.46835899	-0.15218925
131	25.20271683	-0.14942169
132	25.15246391	-0.21306419
133	25.3380661	-0.18816185
134	25.28185844	-0.19923019
135	25.267416	-0.18262672
136	25.30823708	-0.19923019
137	25.17290115	-0.20199585
138	25.25419998	-0.17432594
139	25.12733078	-0.17709351
140	25.12858772	-0.19646263
141	25.17759132	-0.17985916
142	25.09620857	-0.19646263
143	25.267416	-0.19092751
144	25.2422905	-0.17985916
145	25.19800568	-0.15772438
146	25.26270103	-0.16879082
147	25.03748512	-0.18539429
148	25.1034565	-0.18816185
149	25.20994377	-0.20199585
150	25.25419998	-0.19369507
151	25.2806015	-0.17432594
152	25.24825859	-0.19646263
153	25.38233757	-0.16879082
154	25.47212029	-0.1632576
155	25.49129105	-0.16602516
156	25.49126816	-0.18816185
157	25.30700493	-0.18262672
158	25.2422905	-0.17709351
159	25.36441612	-0.16049004
160	25.2806015	-0.16049004
161	25.24825859	-0.1632576
162	25.16567993	-0.18262672
163	25.34057999	-0.16049004
164	25.29504776	-0.1632576
165	25.1826458	-0.16879082
166	25.07958412	-0.19092751
167	25.14178276	-0.16049004
168	25.11665154	-0.17709351
169	25.12858772	-0.16879082
170	25.01488495	-0.17709351
171	25.02805901	-0.15495682
172	25.17285347	-0.17155838
173	25.27118683	-0.17432594
174	25.23509216	-0.16602516
175	25.13455582	-0.14665604
176	25.12858772	-0.16879082
177	25.0399971	-0.16602516
178	25.06387329	-0.15772438
179	24.92498779	-0.14112091
180	25.07581329	-0.17709351
181	25.06512833	-0.13835335
182	25.18606949	-0.19092751
183	25.20651245	-0.15772438
184	25.20052147	-0.17432594
185	25.267416	-0.16602516
