No.	T	dL
		
1	24.64591599	0
2	24.78610039	-0.09131241
3	24.76696777	-0.12451744
4	24.92498589	-0.16049004
5	24.65914917	-0.16602325
6	24.7894268	-0.17985916
7	24.82909966	-0.18815994
8	24.78678322	-0.1770916
9	24.70213699	-0.17432594
10	24.42428589	-0.17155838
11	24.35082054	-0.16049004
12	24.60490417	-0.16602325
13	24.61945915	-0.1770916
14	24.64129257	-0.1632576
15	24.89984322	-0.16879082
16	24.72461891	-0.18262672
17	24.78479958	-0.17985916
18	24.6842804	-0.16602325
19	24.73321915	-0.18262672
20	24.72594452	-0.17432594
21	24.57646561	-0.16049004
22	24.61085701	-0.16049004
23	24.53809166	-0.16879082
24	24.64197159	-0.17432594
25	24.75107384	-0.16049004
26	24.7682724	-0.17985916
27	24.71073914	-0.17155838
28	24.83967781	-0.15772247
29	24.74644661	-0.15495491
30	24.64459419	-0.15495491
31	24.65187073	-0.13835335
32	24.77289772	-0.15495491
33	24.64459419	-0.14665413
34	24.75834846	-0.13835335
35	24.77159691	-0.14942169
36	24.78017044	-0.14665413
37	24.77289772	-0.16602325
38	24.72266197	-0.16602325
39	24.81257439	-0.16602325
40	24.7186451	-0.1632576
41	24.76694679	-0.15495491
42	24.66640282	-0.14388847
43	24.89984322	-0.15495491
44	24.9646244	-0.15218925
45	24.80397606	-0.19369507
46	24.8171978	-0.16049004
47	24.76694679	-0.1770916
48	24.79537582	-0.14942169
49	24.78017044	-0.17155838
50	24.67833138	-0.16049004
51	24.4672966	-0.20199585
52	24.42758942	-0.16879082
53	24.52088737	-0.15218925
54	24.55595207	-0.18262672
55	24.54867363	-0.1770916
56	24.53411865	-0.19369507
57	24.49243736	-0.21029663
58	24.49246216	-0.20476341
59	24.47060013	-0.16879082
60	24.58704376	-0.1770916
61	24.71271706	-0.16602325
62	24.95008087	-0.18815994
63	24.70213699	-0.14112091
64	24.76694679	-0.18815994
65	24.6617775	-0.16602325
66	24.76892853	-0.16879082
67	24.72398567	-0.17432594
68	24.82447433	-0.15495491
69	24.60622978	-0.16879082
70	24.61350632	-0.13005257
71	24.67570305	-0.14942169
72	24.55597305	-0.16879082
73	24.52353287	-0.15772247
74	24.53678894	-0.19092751
75	24.58241844	-0.16879082
76	24.65782166	-0.1632576
77	24.61945915	-0.1632576
78	24.65914917	-0.14942169
79	24.58109093	-0.14112091
80	24.58572006	-0.14942169
81	24.34486389	-0.17985916
82	24.46467018	-0.16049004
83	24.60755157	-0.14112091
84	24.48383331	-0.14112091
85	24.50169945	-0.12451744
86	24.54141998	-0.17432594
87	24.62408829	-0.1770916
88	24.68562889	-0.18815994
89	24.73257065	-0.14388847
90	24.71669006	-0.14388847
91	24.88661957	-0.14112091
92	24.77752304	-0.14388847
93	24.6624527	-0.14388847
94	24.54141998	-0.13005257
95	24.69750977	-0.17432594
96	24.63266563	-0.16602325
97	24.52948761	-0.1632576
98	24.51625824	-0.17155838
99	24.69353676	-0.1770916
100	24.71271706	-0.18815994
101	24.65782166	-0.18539429
102	24.51760101	-0.19092751
103	24.55595207	-0.16879082
104	24.48251152	-0.1770916
105	24.55132675	-0.17155838
106	24.59434509	-0.16602325
107	24.65649986	-0.17155838
108	24.70676422	-0.19646263
109	24.63731766	-0.20199585
110	24.64459419	-0.19922829
111	24.65054893	-0.16879082
112	24.66840363	-0.19092751
113	24.66047478	-0.18262672
114	24.57381439	-0.16049004
115	24.54734993	-0.16602325
116	24.66509819	-0.19646263
117	24.6842804	-0.19922829
118	24.56323242	-0.19092751
119	24.57516098	-0.16602325
120	24.66972733	-0.17155838
121	24.57646561	-0.17155838
122	24.40707397	-0.1770916
123	24.5440464	-0.15495491
124	24.62673569	-0.18815994
125	24.69618607	-0.18815994
126	24.78479958	-0.16049004
127	24.78479958	-0.14665413
128	24.69618607	-0.14112091
129	24.89984322	-0.17155838
130	24.72398567	-0.16049004
131	24.67833138	-0.14112091
